Time,total crime (by borough),rainfall(mm),total employment in London,employment rate(%),total unemployment in London,unemployment rate,population in London,Non-UK nationality,inflation rate,covid-19 total cases,death due to covid-19 ,Passengers in London,,,,,
201201,66592,209.8,3771489,66.8,442471,10.3,8236000,1855000,3.2,0,0,5169518,,,,,
201202,60793,97.52,3777551,66.8,441074,10.2,8236000,1855000,3.1,0,0,4798785,,,,,
201203,72453,93.86,3778036,66.8,431957,10.1,8236000,1855000,3.1,0,0,5697132,,,,,
201204,63161,634.9,3801220,67.2,423436,9.8,8236000,1855000,2.8,0,0,5849171,,,,,
201205,69096,194.65,3827568,67.6,395188,9.2,8236000,1855000,2.5,0,0,5831840,,,,,
201206,66895,618.16,3868358,68.3,390132,9.0,8236000,1855000,2.3,0,0,6245553,,,,,
201207,68447,500.29,3888416,68.6,401837,9.1,8236000,1855000,2.4,0,0,6569647,,,,,
201208,67604,191.67,3917815,69.0,405596,9.2,8236000,1855000,2.3,0,0,6459119,,,,,
201209,61417,233.06,3913621,68.9,396934,9.0,8236000,1855000,2.1,0,0,6345935,,,,,
201210,66739,500.16,3895352,68.5,403461,9.2,8236000,1855000,2.4,0,0,6011761,,,,,
201211,67646,374.55,3930327,69.1,382065,8.6,8236000,1855000,2.4,0,0,5381138,,,,,
201212,62979,544.68,3965583,69.7,388283,8.7,8236000,1855000,2.4,0,0,5625269,,,,,
201301,63621,261.04,3962976,69.6,386804,8.7,8341000,1856000,2.4,0,0,5184924,,,,,
201302,57423,164.07,3944049,69.2,411677,9.2,8341000,1856000,2.5,0,0,4848548,,,,,
201303,59500,284.66,3976175,69.7,393771,8.8,8341000,1856000,2.5,0,0,5921068,,,,,
201304,57588,176.82,3965159,69.4,391217,8.8,8341000,1856000,2.2,0,0,5806681,,,,,
201305,58964,248.39,3955680,69.2,394146,8.9,8341000,1856000,2.4,0,0,6105232,,,,,
201306,58915,99.89,3961348,69.3,399925,9.0,8341000,1856000,2.6,0,0,6531933,,,,,
201307,62870,175.8,3999155,69.9,385378,8.6,8341000,1856000,2.5,0,0,6930334,,,,,
201308,59590,288.11,4013895,70.1,398203,8.9,8341000,1856000,2.4,0,0,6959544,,,,,
201309,56893,269.81,4003605,69.8,403928,9.0,8341000,1856000,2.4,0,0,6559112,,,,,
201310,61965,505,4037400,70.3,396389,8.8,8341000,1856000,2,0,0,6289291,,,,,
201311,60213,293.66,4065086,70.8,379458,8.4,8341000,1856000,1.9,0,0,5411354,,,,,
201312,56171,565.45,4067842,70.7,372481,8.2,8341000,1856000,1.9,0,0,5784898,,,,,
201401,57554,812.72,4077323,70.8,378290,8.3,8591000,1938000,1.8,0,0,5383877,,,,,
201402,53025,510.17,4090509,71.0,365829,8.0,8591000,1938000,1.6,0,0,4898467,,,,,
201403,59791,146.81,4108653,71.2,357227,7.8,8591000,1938000,1.5,0,0,5753321,,,,,
201404,55573,179.14,4139021,71.7,348291,7.6,8591000,1938000,1.7,0,0,6193738,,,,,
201405,58565,392.59,4151313,71.8,343975,7.5,8591000,1938000,1.5,0,0,6236718,,,,,
201406,59168,142.83,4163220,72.0,333958,7.2,8591000,1938000,1.8,0,0,6600652,,,,,
201407,60981,238.07,4171857,72.1,318204,6.9,8591000,1938000,1.6,0,0,6965356,,,,,
201408,57996,458.27,4191907,72.3,301322,6.6,8591000,1938000,1.5,0,0,7051073,,,,,
